Turkey,Turk Telecom ,46,TR_VF
Turks and Caicos,Digicel  USD,1891,TC_DG
Turks and Caicos,Flow ,1549,TC_LM
Ukraine,Kyivstar ,322,UA_KS
Ukraine,Lifecell ,43,UA_LF
United States,ATT PIN USA,1513,US_AT
United States,ATT USA,1459,US_AT
United States,Lyca Mobile PIN USA,1937,US_LC
United States,T-Mobile USA,1464,US_TM
United States,T-Mobile USA PIN,1987,US_TM
United States,Verizon USA,1465,US_VW
Uzbekistan,Beeline  USD,1942,UZ_BE
Uzbekistan,Ucell  USD,2058,UZ_UC
