79407,AB,Abkhazia Mobile - A-Mobile
79409,AB,Abkhazia Mobile - Aquafon
9375,AF,Afghanistan Mobile - At
9370,AF,Afghanistan Mobile - Afghan Wireless
9378,AF,Afghanistan Mobile - Etisalat
9376,AF,Afghanistan Mobile - MTN
9377,AF,Afghanistan Mobile - MTN
9372,AF,Afghanistan Mobile - Roshan
9379,AF,Afghanistan Mobile - Roshan
35568,AL,Albania Mobile - AMC
35567,AL,Albania Mobile - Eagle
35566,AL,Albania Mobile - Plus
35569,AL,Albania Mobile - Vodafone
21396190,DZ,Algeria Mobile - Algeria Telecom Satellite
21396,DZ,Algeria Mobile - Divona Satellite
21377,DZ,Algeria Mobile - Djezzy
21378,DZ,Algeria Mobile - Djezzy
21379,DZ,Algeria Mobile - Djezzy
21365,DZ,Algeria Mobile - Mobilis
21366,DZ,Algeria Mobile - Mobilis
21367,DZ,Algeria Mobile - Mobilis
21368,DZ,Algeria Mobile - Mobilis
21369,DZ,Algeria Mobile - Mobilis
21396191,DZ,Algeria Mobile - Orascom Satellite
2135,DZ,Algeria Mobile - Wataniya
24491,AO,Angola Mobile - Movicel
24499,AO,Angola Mobile - Movicel
24492,AO,Angola Mobile - Unitel
24493,AO,Angola Mobile - Unitel
24494,AO,Angola Mobile - Unitel
1264581,AI,Anguilla Mobile - Digicel
1264582,AI,Anguilla Mobile - Digicel
1264583,AI,Anguilla Mobile - Digicel
1264584,AI,Anguilla Mobile - Digicel
1268464,AG,Antigua and Barbuda Mobile - Flow
1268716,AG,Antigua and Barbuda Mobile - Flow
1268717,AG,Antigua and Barbuda Mobile - Flow
1268718,AG,Antigua and Barbuda Mobile - Flow
1268719,AG,Antigua and Barbuda Mobile - Flow
1268723,AG,Antigua and Barbuda Mobile - Flow
1268727,AG,Antigua and Barbuda Mobile - Flow
1268728,AG,Antigua and Barbuda Mobile - Flow
1268729,AG,Antigua and Barbuda Mobile - Flow
1268764,AG,Antigua and Barbuda Mobile - Flow
126877,AG,Antigua and Barbuda Mobile - Flow
1268780,AG,Antigua and Barbuda Mobile - Flow
1268781,AG,Antigua and Barbuda Mobile - Flow
1268782,AG,Antigua and Barbuda Mobile - Flow
1268784,AG,Antigua and Barbuda Mobile - Flow
1268786,AG,Antigua and Barbuda Mobile - Flow
1268789,AG,Antigua and Barbuda Mobile - Flow
1268720,AG,Antigua and Barbuda Mobile - Digicel
1268721,AG,Antigua and Barbuda Mobile - Digicel
1268722,AG,Antigua and Barbuda Mobile - Digicel
1268724,AG,Antigua and Barbuda Mobile - Digicel
1268725,AG,Antigua and Barbuda Mobile - Digicel
1268726,AG,Antigua and Barbuda Mobile - Digicel
1268732,AG,Antigua and Barbuda Mobile - Digicel
1268734,AG,Antigua and Barbuda Mobile - Digicel
1268736,AG,Antigua and Barbuda Mobile - Digicel
1268783,AG,Antigua and Barbuda Mobile - Digicel
1268785,AG,Antigua and Barbuda Mobile - Digicel
1268788,AG,Antigua and Barbuda Mobile - Digicel
37443,AM,Armenia Mobile - Beeline
37491,AM,Armenia Mobile - Beeline
37496,AM,Armenia Mobile - Beeline
37499,AM,Armenia Mobile - Beeline
37497,AM,Armenia Mobile - Karabakh
37441,AM,Armenia Mobile - Orange
37455,AM,Armenia Mobile - Orange
37495,AM,Armenia Mobile - Orange
37449,AM,Armenia Mobile - Viva Cell
37477,AM,Armenia Mobile - Viva Cell
37493,AM,Armenia Mobile - Viva Cell
37494,AM,Armenia Mobile - Viva Cell
37498,AM,Armenia Mobile - Viva Cell
297630,AW,Aruba Mobile - Digicel
297640,AW,Aruba Mobile - Digicel
297641,AW,Aruba Mobile - Digicel
29773,AW,Aruba Mobile - Digicel
29774,AW,Aruba Mobile - Digicel
297600,AW,Aruba Mobile - DTH
297622,AW,Aruba Mobile - DTH
29756,AW,Aruba Mobile - Setar GSM
29759,AW,Aruba Mobile - Setar GSM
29766,AW,Aruba Mobile - Setar GSM
29769,AW,Aruba Mobile - Setar GSM
29796,AW,Aruba Mobile - Setar TDMA
29799,AW,Aruba Mobile - Setar TDMA
